Protected Heritage Area,Species Common Name,Animal Behaviour,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021,Total Incidents 2022,Total Incidents 2023
Mount Revelstoke National Park of Canada,Grizzly Bear,Escort (Follow-Flank),,,,,,,,,,,1,,,
Mount Revelstoke National Park of Canada,Grizzly Bear,Physical or Aggressive Display,,,,,,1,1,,1,,2,,,
Mount Revelstoke National Park of Canada,Unknown bear,Contact-Property,,,1,,,,,,,,1,,1,
Mount Revelstoke National Park of Canada,Wasp,Physical or Aggressive Display,,,,1,,,,,,,,,,
Nahanni National Park Reserve of Canada,Black Bear,Physical or Aggressive Display,,,,,,1,,,,,,,,
Nahanni National Park Reserve of Canada,Grizzly Bear,Contact-Property,,,,,,1,,,,,,,,
Nahanni National Park Reserve of Canada,Unknown bear,Bluff Charge,1,,,,,,,,,,,,,
Nahanni National Park Reserve of Canada,Unknown bear,Contact-Property,1,,,,,1,,,,,,,1,
Nahanni National Park Reserve of Canada,Unknown bear,Physical or Aggressive Display,,,,,,1,,,,,,,,
Pacific Rim National Park Reserve of Canada,Black Bear,Attack,,,1,,1,,,,,,,,,
Pacific Rim National Park Reserve of Canada,Black Bear,Bluff Charge,,4,,,1,,2,3,1,,,2,3,2
Pacific Rim National Park Reserve of Canada,Black Bear,Contact-People,,,,,,2,,,,1,,,,
Pacific Rim National Park Reserve of Canada,Black Bear,Contact-Property,10,5,5,3,,2,5,,5,2,,1,8,4
Pacific Rim National Park Reserve of Canada,Black Bear,Physical or Aggressive Display,,,,1,1,1,1,1,,,,1,2,2
Pacific Rim National Park Reserve of Canada,California Sea Lion,Contact-People,,,,,,,,,1,,,,,
Pacific Rim National Park Reserve of Canada,Cougar,Attack,,1,,,,,,,,,,,,
Pacific Rim National Park Reserve of Canada,Cougar,Contact-People,,1,,,,,,,,,,,,
Pacific Rim National Park Reserve of Canada,Cougar,Contact-Pet,,,,,,1,,,,,,,,
Pacific Rim National Park Reserve of Canada,Cougar,Contact-Property,2,1,,,,,,,,,,,,
Pacific Rim National Park Reserve of Canada,Cougar,Escort (Follow-Flank),,,,,,,,,,,,,1,
Pacific Rim National Park Reserve of Canada,Cougar,Physical or Aggressive Display,,,,,,,,,,,,1,,
Pacific Rim National Park Reserve of Canada,Cougar,Predatory Approach,,1,,,1,1,,,,,,,,
Pacific Rim National Park Reserve of Canada,Domestic Dog,Chase,,,,,,2,1,,,,,,,
Pacific Rim National Park Reserve of Canada,Domestic Dog,Physical or Aggressive Display,1,,,,,,2,,,,,,,
Pacific Rim National Park Reserve of Canada,Pacific White-sided Dolphin,Physical or Aggressive Display,,,,,,,,,,,,,1,
Pacific Rim National Park Reserve of Canada,Raccoon,Contact-Property,,,,,,,1,,,,,,,
Pacific Rim National Park Reserve of Canada,Red Squirrel,Attack,,,,,,,,,,,,1,,
Pacific Rim National Park Reserve of Canada,Unknown,Contact-Pet,,,,,,1,,,,,,,,
Pacific Rim National Park Reserve of Canada,Unknown,Contact-Property,,,,,,,1,,,,,,,
Pacific Rim National Park Reserve of Canada,Wolf,Bluff Charge,,,,,,,1,,,,,,,
Pacific Rim National Park Reserve of Canada,Wolf,Chase,,,,,,,,,1,,,,,
Pacific Rim National Park Reserve of Canada,Wolf,Contact-Pet,,6,2,1,4,2,2,5,1,1,2,,,
Pacific Rim National Park Reserve of Canada,Wolf,Contact-Property,,,,,1,,2,,,,,1,,
Pacific Rim National Park Reserve of Canada,Wolf,Escort (Follow-Flank),1,1,,,,,3,7,,,1,,,
Pacific Rim National Park Reserve of Canada,Wolf,Physical or Aggressive Display,1,,,,,1,,1,1,,,,,
Pacific Rim National Park Reserve of Canada,Wolf,Predatory Approach,,,,,,,3,,,,,1,,
Point Pelee National Park of Canada,Beaver,Contact-Property,,,,,,1,,,,,,,,
Point Pelee National Park of Canada,Domestic Dog,Chase,,,,,,,,,,,,,,1
Point Pelee National Park of Canada,Raccoon,Attack,,,,,,,,,,,,,2,1
Point Pelee National Park of Canada,Raccoon,Contact-Property,,,1,3,2,,,,,,,,,
Point Pelee National Park of Canada,Raccoon,Physical or Aggressive Display,,,,,,1,,,,,,,,
Prince Albert National Park of Canada,Barn Swallow,Physical or Aggressive Display,,,,,,,,,,,,,1,
Prince Albert National Park of Canada,Beaver,Contact-Property,2,,,,,,,,,,,,,
Prince Albert National Park of Canada,Black Bear,Attack,,,,,,,,,,1,,1,,
Prince Albert National Park of Canada,Black Bear,Bluff Charge,,,,1,,1,,,4,1,1,1,3,
Prince Albert National Park of Canada,Black Bear,Chase,,,,,,,,,1,1,3,,1,1
Prince Albert National Park of Canada,Black Bear,Contact-Property,21,11,7,3,2,3,1,8,10,12,3,13,19,5
Prince Albert National Park of Canada,Black Bear,Escort (Follow-Flank),,2,,,1,2,,,1,1,1,,,
Prince Albert National Park of Canada,Black Bear,Physical or Aggressive Display,,1,,,,,1,,2,,,1,,1
Prince Albert National Park of Canada,Canada Goose,Physical or Aggressive Display,,,,,,,,,1,,,,,
Prince Albert National Park of Canada,Cougar,Contact-Property,1,,,,,,,,,,,,,
Prince Albert National Park of Canada,Coyote,Chase,,,,1,,,,,,,,,,
Prince Albert National Park of Canada,Coyote,Contact-Property,,,,,,,,,,,,,,1
Prince Albert National Park of Canada,Coyote,Escort (Follow-Flank),,,,,,1,,,,,,,,
Prince Albert National Park of Canada,Coyote,Predatory Approach,,,,,,,,,,,2,,,
Prince Albert National Park of Canada,Domestic Dog,Chase,,,,,,,,1,,,,,,
Prince Albert National Park of Canada,Elk,Bluff Charge,,,,,1,1,,,1,,,3,1,1
Prince Albert National Park of Canada,Elk,Chase,,1,,,,,,,1,,1,2,1,
Prince Albert National Park of Canada,Elk,Contact-Pet,,,,,,,,,,,,,1,
Prince Albert National Park of Canada,Elk,Escort (Follow-Flank),,1,,,,,,,,,,,,1
Prince Albert National Park of Canada,Elk,Physical or Aggressive Display,2,,1,,2,3,,2,,2,,,,1
Prince Albert National Park of Canada,Marten,Attack,,,,,,,,,,,,1,,
Prince Albert National Park of Canada,Marten,Contact-People,,,,1,,,,,,,,,,
Prince Albert National Park of Canada,Marten,Contact-Property,,,,,,,,,,,1,,,
Prince Albert National Park of Canada,Marten,Physical or Aggressive Display,,,2,,,,,,,,,1,,
Prince Albert National Park of Canada,Red Fox,Attack,,,,,,,,,,,,,,1
Prince Albert National Park of Canada,Red Fox,Contact-Property,,,2,,,,,,,2,,,,
Prince Albert National Park of Canada,Red Fox,Escort (Follow-Flank),,,2,,,,,,,,,,,
Prince Albert National Park of Canada,Red Fox,Physical or Aggressive Display,,,2,,,,,,,,,,,1
Prince Albert National Park of Canada,Red Squirrel,Attack,,,,,,,,,,,,,,1
Prince Albert National Park of Canada,Red Squirrel,Contact-Property,,,,,,,,,2,,,,,
Prince Albert National Park of Canada,Spruce Grouse,Contact-Property,,,,,,,,,,,,1,,
Prince Albert National Park of Canada,Unknown,Contact-Property,,,,,,,,,1,,,,,
Prince Albert National Park of Canada,Wasp,Physical or Aggressive Display,,,,,,,,,,,,1,,
Prince Albert National Park of Canada,White-tailed Deer,Escort (Follow-Flank),,,,,,,1,,,,,,,
Prince Albert National Park of Canada,Wolf,Contact-Pet,,,1,,,,,,,,,,,
Prince Albert National Park of Canada,Wolf,Escort (Follow-Flank),,,,,3,,,,,,1,,,
Prince Edward Island National Park of Canada,Coyote,Escort (Follow-Flank),,,,,,,,,1,,,,,
Prince Edward Island National Park of Canada,Domestic Dog,Bluff Charge,,1,,,,,,,,,,,,
Prince Edward Island National Park of Canada,Herring Gull,Contact-People,,,,1,,,,,,,,,,
Prince Edward Island National Park of Canada,Little Brown Myotis,Contact-Property,,1,,,,,,,,,,,,
Prince Edward Island National Park of Canada,Mink,Contact-Property,,,,,,1,,,,,,,,
Prince Edward Island National Park of Canada,Raccoon,Contact-Property,,3,,,,,,1,,,,1,,1
Prince Edward Island National Park of Canada,Raccoon,Physical or Aggressive Display,,,,,,,,1,,,,,,
Prince Edward Island National Park of Canada,Red Squirrel,Attack,,,,,,,,,,,,,,1
Prince Edward Island National Park of Canada,Red Squirrel,Contact-Property,,1,,,,,,,,,,,,
Prince Edward Island National Park of Canada,Ruffed Grouse,Chase,,,,,,,,,1,,,,,
Prince Edward Island National Park of Canada,Wasp,Contact-People,1,,,1,,,1,,,,,,,
Prince of Wales Fort National Historic Site of Canada,Polar Bear,Contact-Property,,,,,,,,,1,1,,,,
Pukaskwa National Park of Canada,Black Bear,Attack,,1,,,,,,,,,,,,
Pukaskwa National Park of Canada,Black Bear,Contact-Property,1,1,1,,,4,2,,1,1,1,1,,
Pukaskwa National Park of Canada,Black Bear,Physical or Aggressive Display,,,,,1,,1,,,,,1,,
Quttinirpaaq National Park of Canada,Wolf,Contact-Property,,,,,,,,1,,,,,,
Riding Mountain National Park of Canada,Black Bear,Attack,,,,1,,,,,,1,1,1,,
Riding Mountain National Park of Canada,Black Bear,Bluff Charge,2,2,1,,,,,,2,1,1,1,,
Riding Mountain National Park of Canada,Black Bear,Contact-Property,10,2,1,2,4,6,1,2,4,8,4,5,12,21
Riding Mountain National Park of Canada,Black Bear,Escort (Follow-Flank),,,1,,,,,,,,,,,
Riding Mountain National Park of Canada,Black Bear,Physical or Aggressive Display,,1,,2,1,,1,,1,1,2,,1,
Riding Mountain National Park of Canada,Coyote,Chase,1,,,,,,,,,,1,,,
Riding Mountain National Park of Canada,Coyote,Escort (Follow-Flank),,,,,,,,,,,1,,,
Riding Mountain National Park of Canada,Coyote,Physical or Aggressive Display,2,,,,,,,,,,,,,
Riding Mountain National Park of Canada,Lynx,Escort (Follow-Flank),,,,,,,,,,,1,,,
Riding Mountain National Park of Canada,Plains Bison,Bluff Charge,,,3,,,,,,,,,,,
Riding Mountain National Park of Canada,Red Squirrel,Contact-Property,,,,,,,,,,,,1,,
Riding Mountain National Park of Canada,Unknown,Contact-Property,,,,,,,,,,,,,,1
Riding Mountain National Park of Canada,Unknown bear,Contact-Property,,,,,,,,,,,,,,1
Riding Mountain National Park of Canada,Wolf,Escort (Follow-Flank),,,,,1,,,,,,,,,
Riding Mountain National Park of Canada,Wolf,Physical or Aggressive Display,1,,,,,,,,,,,,,
Rouge National Urban Park,Black Bear,Contact-Property,,,,,,,,,,,1,,,
Sable Island National Park Reserve,Wild Horse,Contact-People,,,,,,,,,,,1,,,
Saguenay-St. Lawrence Marine Park,Beaver,Contact-People,,,,,,,1,,,,,,,
Saguenay-St. Lawrence Marine Park,Black Bear,Contact-Property,,,1,,,,,,,,,,,
Saguenay-St. Lawrence Marine Park,Humpback Whale,Physical or Aggressive Display,,,,,,,,,,1,,,,
Saoyú-?ehdacho National Historic Site of Canada,Black Bear,Contact-Property,,,,,,,,2,,,,,,
Sirmilik National Park of Canada,Arctic Fox,Attack,,,,,1,,,,,,,,,
Sirmilik National Park of Canada,Polar Bear,Contact-Property,,,,,1,,,,,,,,,
Terra Nova National Park of Canada,Black Bear,Contact-People,,1,,,,,,,,,,,,
Terra Nova National Park of Canada,Black Bear,Contact-Property,1,1,2,,,,,1,1,,,,,
Terra Nova National Park of Canada,Black Bear,Physical or Aggressive Display,,,,,1,,,,,,,,,
Terra Nova National Park of Canada,Coyote,Escort (Follow-Flank),,,,,,,,,,,,,,1
Terra Nova National Park of Canada,Moose,Contact-Property,1,,,,,,,,,,,,,
Terra Nova National Park of Canada,Red Squirrel,Contact-Property,,,,1,,,,,,,,,,
Terra Nova National Park of Canada,Unknown gull,Bluff Charge,,,1,,,,,,,,,,,
Terra Nova National Park of Canada,Unknown gull,Physical or Aggressive Display,,,1,,,,,,,,,,,
Thousand Islands National Park of Canada,Beaver,Contact-Property,,,,,,,1,,,,,,,
Thousand Islands National Park of Canada,Raccoon,Chase,,,,,,,,,,,,,1,
Thousand Islands National Park of Canada,Raccoon,Contact-Property,,,,7,,,1,1,2,,2,,2,3
Thousand Islands National Park of Canada,Raccoon,Physical or Aggressive Display,,,,1,,,,,,,,,,
Thousand Islands National Park of Canada,Unknown bear,Chase,,,,,,,1,,,,,,,
Thousand Islands National Park of Canada,Unknown snake,Attack,,,,,,,,,,1,,,,
Torngat Mountains National Park,Polar Bear,Attack,1,,,1,,,,,,,,,,
Trent-Severn Waterway National Historic Site of Canada,Black Bear,Contact-Property,,,,,,,,,,,,,1,
Ukkusiksalik National Park of Canada,Grizzly Bear,Contact-Property,,,,,,,1,,,,,,,
Ukkusiksalik National Park of Canada,Polar Bear,Contact-Property,,,,1,2,,,,,,,,,
Wapusk National Park of Canada,Polar Bear,Contact-Property,4,1,,,1,,1,,,,,,,
Wapusk National Park of Canada,Polar Bear,Physical or Aggressive Display,,,,,,,,,,,,,,1
Waterton Lakes National Park of Canada,Bighorn Sheep,Contact-People,,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Bighorn Sheep,Contact-Property,2,,,,,1,,,,,,,,
Waterton Lakes National Park of Canada,Bighorn Sheep,Escort (Follow-Flank),,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Bighorn Sheep,Physical or Aggressive Display,,,,1,,,,,,,,,,
Waterton Lakes National Park of Canada,Black Bear,Attack,,,,,,,3,,,,,,,
Waterton Lakes National Park of Canada,Black Bear,Bluff Charge,,3,2,2,5,,3,1,2,1,1,2,5,2
Waterton Lakes National Park of Canada,Black Bear,Chase,,,,,1,,,,,,,,,1
Waterton Lakes National Park of Canada,Black Bear,Contact-People,2,,,,,,,,,,,,,
Waterton Lakes National Park of Canada,Black Bear,Contact-Property,7,3,3,23,14,8,6,2,2,8,12,8,9,8
Waterton Lakes National Park of Canada,Black Bear,Escort (Follow-Flank),,2,3,,3,,2,,1,,1,,,
Waterton Lakes National Park of Canada,Black Bear,Physical or Aggressive Display,,5,2,2,1,1,1,2,2,2,,,1,
Waterton Lakes National Park of Canada,Blue Grouse,Contact-People,1,,,,,,,,,,,,,
Waterton Lakes National Park of Canada,Blue Grouse,Physical or Aggressive Display,,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Columbian Ground Squirrel,Attack,,,,,,,,,,,,1,,
Waterton Lakes National Park of Canada,Columbian Ground Squirrel,Contact-Property,,1,,,,,,,1,,1,,,
Waterton Lakes National Park of Canada,Cougar,Attack,,,,,1,,,,,,,,,
Waterton Lakes National Park of Canada,Cougar,Contact-Property,,1,,,,,,,,,,,,
Waterton Lakes National Park of Canada,Cougar,Escort (Follow-Flank),1,,,,,,,,1,,1,,,
Waterton Lakes National Park of Canada,Cougar,Predatory Approach,,1,,,,,,,,,,,,
Waterton Lakes National Park of Canada,Domestic Dog,Chase,,,,,,,,,,,1,,,
Waterton Lakes National Park of Canada,Golden-mantled Ground Squirrel,Attack,,,1,,,,,,,,,,,
Waterton Lakes National Park of Canada,Grizzly Bear,Attack,,,,,,,,,,,1,,,
Waterton Lakes National Park of Canada,Grizzly Bear,Bluff Charge,7,2,,,,1,,1,,,,2,,1
Waterton Lakes National Park of Canada,Grizzly Bear,Escort (Follow-Flank),1,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Grizzly Bear,Physical or Aggressive Display,1,,,,,,,,,,,,,1
Waterton Lakes National Park of Canada,Least Chipmunk,Contact-Property,,,,,,,,,,,,1,,
Waterton Lakes National Park of Canada,Magpie,Physical or Aggressive Display,,,,,,1,,,,,,,,
Waterton Lakes National Park of Canada,Marten,Physical or Aggressive Display,,,,,,,,,,,,,,1
Waterton Lakes National Park of Canada,Moose,Bluff Charge,,1,,,,,,,,,,,,
Waterton Lakes National Park of Canada,Mule Deer,Attack,1,,,,,,,,,,,,,
Waterton Lakes National Park of Canada,Mule Deer,Bluff Charge,20,4,6,,,2,1,4,2,3,3,,1,1
Waterton Lakes National Park of Canada,Mule Deer,Chase,,,,,,1,,3,3,5,4,6,1,2
Waterton Lakes National Park of Canada,Mule Deer,Contact-Pet,5,1,,,,,,2,,,,1,,
Waterton Lakes National Park of Canada,Mule Deer,Contact-Property,2,1,,,,,,,,,,1,,
Waterton Lakes National Park of Canada,Mule Deer,Escort (Follow-Flank),1,,,,,1,2,1,,2,1,,,
Waterton Lakes National Park of Canada,Mule Deer,Physical or Aggressive Display,24,12,3,4,5,1,8,7,,3,6,21,10,7
Waterton Lakes National Park of Canada,Plains Bison,Bluff Charge,,,,,,1,,,,,,,,
Waterton Lakes National Park of Canada,Red Squirrel,Attack,,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Skunk,Contact-Property,,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Unknown,Contact-Property,,,,,,,,,,1,,,,
Waterton Lakes National Park of Canada,Unknown bear,Bluff Charge,,1,,,,,,,1,,,,1,
Waterton Lakes National Park of Canada,Unknown bear,Chase,,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Unknown bear,Contact-Property,,,2,,2,,3,1,,,,,,
Waterton Lakes National Park of Canada,Unknown deer,Contact-Pet,,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Unknown deer,Physical or Aggressive Display,,,,,,,,3,,,,,,
Waterton Lakes National Park of Canada,White-tailed Deer,Chase,,,,,,,,,,4,,,,
Waterton Lakes National Park of Canada,White-tailed Deer,Escort (Follow-Flank),,,,,,,,1,,,,,,
Waterton Lakes National Park of Canada,Wolf,Bluff Charge,,,,,,,,,,,,,1,
Wood Buffalo National Park of Canada,Black Bear,Bluff Charge,1,,1,1,1,,1,,1,2,,,,1
Wood Buffalo National Park of Canada,Black Bear,Contact-Pet,,,,,,,,,,,,1,,
Wood Buffalo National Park of Canada,Black Bear,Contact-Property,4,3,2,1,1,4,2,,1,4,2,3,,4
Wood Buffalo National Park of Canada,Black Bear,Escort (Follow-Flank),,,2,,,,1,,,,,,,
Wood Buffalo National Park of Canada,Black Bear,Physical or Aggressive Display,,1,,,,,1,,1,,,,,
Wood Buffalo National Park of Canada,Black Bear,Predatory Approach,,,,,,,,1,,,1,,,
Wood Buffalo National Park of Canada,Wood Bison,Bluff Charge,,1,,,1,,,,,,,,,
Wood Buffalo National Park of Canada,Wood Bison,Contact-Pet,,,1,,,,,,,,,,,
Wood Buffalo National Park of Canada,Wood Bison,Contact-Property,,,2,,,,,,,,,,,
Wood Buffalo National Park of Canada,Wood Bison,Physical or Aggressive Display,,,,,,,,,1,,,,,3
Yoho National Park of Canada,Beaver,Contact-Property,,1,,,,,,,,,,,,
Yoho National Park of Canada,Black Bear,Bluff Charge,1,4,1,,,1,,,,,,,,
Yoho National Park of Canada,Black Bear,Chase,,2,,,,,,,,,,,1,
Yoho National Park of Canada,Black Bear,Contact-Property,2,4,1,,,3,,,,,,4,2,
Yoho National Park of Canada,Black Bear,Escort (Follow-Flank),,,,,,,,,,,1,,,
Yoho National Park of Canada,Black Bear,Physical or Aggressive Display,,,,,1,,,,,,,3,2,
Yoho National Park of Canada,Cougar,Escort (Follow-Flank),,1,,,,,,,,,,,,
Yoho National Park of Canada,Coyote,Escort (Follow-Flank),,,,,,,,,,,1,1,,
Yoho National Park of Canada,Elk,Bluff Charge,,,1,,,,,,,,,,,
Yoho National Park of Canada,Grizzly Bear,Bluff Charge,,3,1,,3,,2,,,2,,,,
Yoho National Park of Canada,Grizzly Bear,Chase,,3,,,,,,,,,,,,
Yoho National Park of Canada,Grizzly Bear,Contact-Property,,,,,,,,,,,1,1,1,
Yoho National Park of Canada,Grizzly Bear,Escort (Follow-Flank),,1,,,,1,,,,,,,,
Yoho National Park of Canada,Grizzly Bear,Physical or Aggressive Display,1,1,1,,1,1,,1,,,,,,
Yoho National Park of Canada,Hoary Marmot,Contact-Property,,,,,,1,,,,,,,,
Yoho National Park of Canada,Moose,Physical or Aggressive Display,,,,,,,,1,,,,,,
Yoho National Park of Canada,Mule Deer,Bluff Charge,,,,,,1,,,,,,,,
Yoho National Park of Canada,Porcupine,Contact-Property,,,1,,,,,,,,,,,
Yoho National Park of Canada,Unknown bat,Attack,,,,,,,,,,,1,,,
Yoho National Park of Canada,Unknown bear,Bluff Charge,,,,1,1,,,,,,,,,
Yoho National Park of Canada,Wolf,Physical or Aggressive Display,,,1,,,1,,,,,,,,
Yoho National Park of Canada,Wolverine,Physical or Aggressive Display,,,,1,,,,,,,,,,
Yoho National Park of Canada,Woodrat,Contact-Property,,,1,,,,,,,,,,,
